,A,B,C,D,E,F,G,H,I,J,K,L,M,N,o,P,Q,R,S,T,U,V,W,X,Y,Z
0,A.NET (A#/A sharp),B,C – ISO/IEC 9899,D,E,F,Game Maker Language,Hack,Io,J,K,LabVIEW,M Formula language,NASM,o:XML,P,Q (programming language from Kx Systems),R,S,T,Ubercode,Vala,"WATFIV, WATFOR (WATerloo FORtran IV)",X++ (X plus plus/Microsoft Dynamics AX),Yorick,Z notation
1,A-0 System,Babbage,C-- (C minus minus),Dart,Ease,F# (F sharp),GameMonkey Script,HAGGIS,Icon,J# (J sharp),Kaleidoscope,Ladder,M2001,Napier88,Oak,P4,Q# (Microsoft programming language),R++,S2,TACL,UCSD Pascal,Vim script,WebAssembly,X10,YQL,Z shell
2,A+ (A plus),Ballerina,C++ (C plus plus) – ISO/IEC 14882,Darwin,Easy PL/I,F*,GAMS (General Algebraic Modeling System),HAL/S,IBM Basic assembly language,J++ (J plus plus),Karel,LANSA,M4,Neko,Oberon,P′′,Qalb,Racket,S3,TACPOL,Umple,Viper (Ethereum/Ether (ETH)),WebDNA,xBase++ (xBase plus plus),Yoix,"Zebra, ZPL, ZPL2"
3,A++,Bash,C*,DataFlex,EASYTRIEVE PLUS,Factor,GAP,Halide (programming language),IBM HAScript,JADE,KEE,Lasso,M#,Nemerle,OBJ2,ParaSail,Quantum Computation Language,Raku,S-Lang,TADS (Text Adventure Development System),Unicon,Visual DataFlex,Whiley,XBL,null,Zeno
4,ABAP,BASIC,C# (C sharp) – ISO/IEC 23270,Datalog,eC,Fantom,G-code,Hamilton C shell,IBM Informix-4GL,Jai,Kixtart,Lava,Machine code,NESL,Object Lisp,PARI/GP,QtScript,RAPID,S-PLUS,TAL,Uniface,Visual DialogScript,Winbatch,XC (targets XMOS architecture),null,ZetaLisp
5,ABC,Batch file (Windows/MS-DOS),C/AL,DATATRIEVE,ECMAScript,FAUST,GDScript (Godot),Harbour,IBM RPG,JAL,Klerer-May System,LC-3,MAD (Michigan Algorithm Decoder),Net.Data,ObjectLOGO,Pascal – ISO 7185,QuakeC,Rapira,SA-C,Tcl,UNITY,Visual FoxPro,Wolfram Language,xHarbour,null,Zig
6,ABC ALGOL,bc (basic calculator),Caché ObjectScript,dBase,Edinburgh IMP,FFP,Genie,Hartmann pipelines,IDL,Janus (concurrent constraint programming language),KIF (Knowledge Interchange Format),Lean,MAD/I,NetLogo,Object REXX,Pascal Script,QPL,Ratfiv,SabreTalk,Tea,UnrealScript,Visual J++ (Visual J plus plus),Wyvern,XL,null,Zonnon
7,ACC,BCPL,C Shell (csh),dc,EGL,fish,GDL (Geometric Description Language),Haskell,Idris,Janus (time-reversible computing programming language),Kojo,Legoscript,Magik,NetRexx,Object Pascal,PCASTL,.QL,Ratfor,SAIL,TECO (Text Editor and Corrector),null,Visual LISP,null,Xojo,null,ZOPL
8,Accent (Rational Synergy),BeanShell,Caml,DCL (DIGITAL Command Language),Eiffel,Fjölnir,GEORGE,Haxe,Inform,JASS,Kotlin,LIL,Magma,NewLISP,Objective-C,PCF,null,rc,SAKO,TELCOMP,null,Visual Objects,null,XOTcl,null,ZPL
9,Ace DASL (Distributed Application Specification Language),Bertrand,Carbon,Delphi,ELAN,FL,GLSL (OpenGL Shading Language),Hermes,ISLISP,Java,KRC,LilyPond,Máni,NEWP,Obliq,PEARL,null,Reason,SAS,TeX,null,Visual Prolog,null,Xod,null,Z++
10,Action!,BETA,Cayenne (Lennart Augustsson),DinkC,Elixir,FlagShip,GNU E,High Level Assembly (HLA),null,JavaFX Script,KRL,Limbo,Maple,Newspeak,OCaml,PeopleCode,null,REBOL,SASL,TEX (Text Executive Programming Language),null,null,null,XPL,null,null
11,ActionScript,BLISS,CDuce,DIBOL,Elm,Flavors,GNU Guile (GNU Ubiquitous Intelligent Language for Extensions),HLSL,null,JavaScript,KRL (KUKA Robot Language),Limnor,MAPPER (now part of BIS),NewtonScript,occam,Perl,null,Red,Sather,TIE,null,null,null,XPL0,null,null
12,Actor,Blockly,Cecil,Dog,Emacs Lisp,Flex,Go,Hollywood,null,Jess,KRYPTON,LINC,MARK-IV (now VISION:BUILDER),Nial,occam-π,PDL,null,Redcode,Sawzall,"TMG (TransMo Griffer), compiler-compiler",null,null,null,XQuery,null,null
13,Ada,BlooP,CESIL (Computer Education in Schools Instruction Language),Draco,Emerald,Flix,Go!,HolyC (TempleOS),null,JCL,KornShell (ksh),Lingo,Mary,Nickle (NITIN),Octave,Pharo,null,REFAL,Scala,Tom,null,null,null,XSB,null,null
14,Adenine (Haystack),Boo,Céu,DRAKON,Epigram,FlooP,GOAL (Game Oriented Assembly Lisp),Hop,null,JEAN,Kodu,LINQ,MATLAB,Nim,OmniMark,PHP,null,REXX,Scheme,Toi,null,null,null,XSharp (X#),null,null
15,AdvPL,Boomerang,Ceylon,Dylan,EPL (Easy Programming Language),FLOW-MATIC (B0),Gödel,Hopscotch,null,Join Java,Kv (Kivy),LIS,MASM Microsoft Assembly x86,Nix (Systems configuration language),Opa,Pico,null,Ring,Scilab,Topspeed (Clarion),null,null,null,XSLT,null,null
16,Agda,Bosque,CFEngine,DYNAMO,Erlang,FOCAL (Formulating On-Line Calculations in Algebraic Language/FOrmula CALculator),Golo,Hope,null,JOSS,null,LISA,MATH-MATIC,NPL,Opal,Picolisp,null,ROOP,Scratch,TPU (Text Processing Utility),null,null,null,Xtend,null,null
17,Agilent VEE (Keysight VEE),null,Cg (High-Level Shader/Shading Language [HLSL]),DAX (Data Analysis Expressions),es,FOCUS,GOM (Good Old Mad),Hume,null,Joule,null,Language H,Maude system,Not eXactly C (NXC),Open Programming Language (OPL),Pict,null,RPG,Script.NET,Trac,null,null,null,null,null,null
18,Agora,null,Ch,null,Escher,FOIL,Google Apps Script,HyperTalk,null,JOVIAL,null,Lisp – ISO/IEC 13816,Maxima (see also Macsyma),Not Quite C (NQC),OpenCL,Pike,null,RPL,Sed,TTM,null,null,null,null,null,null
19,AIMMS,null,Chapel (Cascade High Productivity Language),null,ESPOL,FORMAC (FORMula MAnipulation Compiler),Gosu,Hy,null,Joy,null,Lite-C,Max (Max Msp – Graphical Programming Environment),NSIS,OpenEdge Advanced Business Language (ABL),PILOT,null,RSL,Seed7,T-SQL (Transact-SQL),null,null,null,null,null,null
20,Aldor,null,Charm,null,Esterel,@Formula,GOTRAN (IBM 1620),null,null,JScript,null,Lithe,MaxScript internal language 3D Studio Max,Nu,OpenVera,Pipelines,null,RTL/2,Self,Transcript (LiveCode),null,null,null,null,null,null
21,Alef,null,CHILL,null,Etoys,Forth,GPSS (General Purpose Simulation System),null,null,JScript .NET,null,Little b,Maya (MEL),NWScript,OpenQASM,Pizza,null,Ruby,SenseTalk,TTCN (Tree and Tabular Combined Notation),null,null,null,null,null,null
22,ALF,null,CHIP-8,null,Euclid,Fortran – ISO/IEC 1539,GraphTalk (Computer Sciences Corporation),null,null,Julia,null,LLL,MDL,NXT-G,OPS5,PL-11,null,Rust,SequenceL,Turing,null,null,null,null,null,null
23,ALGOL 58,null,ChucK,null,Euler,Fortress,GRASS,null,null,Jython,null,Logo,Mercury,null,OptimJ,PL/0,null,null,Serpent,TUTOR (PLATO Author Language),null,null,null,null,null,null
24,ALGOL 60,null,Cilk (also Cilk++ and Cilk plus),null,Euphoria,FP,Grasshopper,null,null,null,null,Logtalk,Mesa,null,Orc,PL/B,null,null,SETL,TXL,null,null,null,null,null,null
25,ALGOL 68,null,Control Language,null,EusLisp Robot Programming Language,FoxBase/FoxPro,Groovy (Apache Groovy),null,null,null,null,LotusScript,MHEG-5 (Interactive TV programming language),null,ORCA/Modula-2,PL/C,null,null,Short Code,TypeScript,null,null,null,null,null,null
26,ALGOL W,null,Claire,null,CMS EXEC (EXEC),Franz Lisp,null,null,null,null,null,LPC,Microcode,null,Oriel,PL/I – ISO 6160,null,null,SIMPOL,Tynker,null,null,null,null,null,null
27,Alice (Alice ML),null,Clarion,null,EXEC 2,Futhark,null,null,null,null,null,LSE,Microsoft Power Fx,null,Orwell,PL/M,null,null,SIGNAL,null,null,null,null,null,null,null
28,Alma-0,null,Clean,null,Executable UML,F-Script,null,null,null,null,null,LSL,MIIS,null,Oxygene,PL/P,null,null,SiMPLE,null,null,null,null,null,null,null
29,AmbientTalk,null,Clipper,null,Ezhil,null,null,null,null,null,null,LiveCode,Milk (programming language),null,Oz,PL/S,null,null,SIMSCRIPT,null,null,null,null,null,null,null
30,Amiga E,null,CLIPS,null,null,null,null,null,null,null,null,LiveScript,MIMIC,null,null,PL/SQL,null,null,Simula,null,null,null,null,null,null,null
31,AMOS (AMOS BASIC),null,CLIST,null,null,null,null,null,null,null,null,Lua,Mirah,null,null,PL360,null,null,Simulink,null,null,null,null,null,null,null
32,AMPL,null,Clojure,null,null,null,null,null,null,null,null,Lucid,Miranda,null,null,PLANC,null,null,SISAL,null,null,null,null,null,null,null
33,Analitik,null,CLU,null,null,null,null,null,null,null,null,Lustre,MIVA Script,null,null,Plankalkül,null,null,SKILL,null,null,null,null,null,null,null
34,AngelScript,null,CMS-2,null,null,null,null,null,null,null,null,LYaPAS,ML,null,null,Planner,null,null,SLIP,null,null,null,null,null,null,null
35,Apache Pig latin,null,COBOL – ISO/IEC 1989,null,null,null,null,null,null,null,null,Lynx,Model 204,null,null,PLEX,null,null,SMALL,null,null,null,null,null,null,null
36,"Apex (Salesforce.com, Inc)",null,CobolScript – COBOL Scripting language,null,null,null,null,null,null,null,null,null,Modelica,null,null,PLEXIL,null,null,Smalltalk,null,null,null,null,null,null,null
37,APL,null,Cobra,null,null,null,null,null,null,null,null,null,Modula,null,null,Plus,null,null,SML,null,null,null,null,null,null,null
38,App Inventor for Android's visual block language (MIT App Inventor),null,CoffeeScript,null,null,null,null,null,null,null,null,null,Modula-2,null,null,POP-11,null,null,Strongtalk,null,null,null,null,null,null,null
39,AppleScript,null,ColdFusion,null,null,null,null,null,null,null,null,null,Modula-3,null,null,POP-2,null,null,Snap!,null,null,null,null,null,null,null
40,APT,null,COMAL,null,null,null,null,null,null,null,null,null,Mohol,null,null,PostScript,null,null,SNOBOL (SPITBOL),null,null,null,null,null,null,null
41,Arc,null,COMIT,null,null,null,null,null,null,null,null,null,MOO,null,null,PortablE,null,null,Snowball,null,null,null,null,null,null,null
42,ARexx,null,Common Intermediate Language (CIL),null,null,null,null,null,null,null,null,null,Mortran,null,null,POV-Ray SDL,null,null,SOL,null,null,null,null,null,null,null
43,Argus,null,Common Lisp (also known as CL),null,null,null,null,null,null,null,null,null,Mouse,null,null,Powerhouse,null,null,Solidity,null,null,null,null,null,null,null
44,Assembly language (ASM),null,COMPASS,null,null,null,null,null,null,null,null,null,MPD,null,null,PowerBuilder – 4GL GUI application generator from Sybase,null,null,SOPHAEROS,null,null,null,null,null,null,null
45,AutoHotkey,null,Component Pascal,null,null,null,null,null,null,null,null,null,MSL,null,null,PowerShell,null,null,Source,null,null,null,null,null,null,null
46,AutoIt,null,Constraint Handling Rules (CHR),null,null,null,null,null,null,null,null,null,MUMPS,null,null,PPL,null,null,SPARK,null,null,null,null,null,null,null
47,AutoLISP / Visual LISP,null,COMTRAN,null,null,null,null,null,null,null,null,null,MuPAD,null,null,Processing,null,null,Speakeasy,null,null,null,null,null,null,null
48,Averest,null,Cool,null,null,null,null,null,null,null,null,null,Mutan,null,null,Processing.js,null,null,Speedcode,null,null,null,null,null,null,null
49,AWK,null,Coq,null,null,null,null,null,null,null,null,null,Mystic Programming Language (MPL),null,null,Prograph,null,null,SPIN,null,null,null,null,null,null,null
50,Axum,null,Coral 66,null,null,null,null,null,null,null,null,null,null,null,null,Project Verona,null,null,SP/k,null,null,null,null,null,null,null
